1972-09-05	terror	Мюнхен: захват олимпийской сборной
1978-03-16	terror	Похищение Альдо Моро
1983-10-23	terror	Бейрут: казармы миротворцев
1988-12-21	terror	Локерби
1993-02-26	terror	Первый взрыв ВТЦ
1995-03-20	terror	Зарин в токийском метро
1995-04-19	terror	Оклахома-Сити
1998-08-07	terror	Взрывы посольств (Найроби/Дар-эс-Салам)
2002-10-23	terror	Норд-Ост
2004-03-11	terror	Мадрид: поезда
2004-09-01	terror	Беслан
2005-07-07	terror	Лондон 7/7
2011-07-22	terror	Норвегия: Утёйя
2013-04-15	terror	Бостонский марафон
2017-05-22	terror	Манчестер-Арена
