1873-05-09	crash	Венский крах (Чёрная пятница Вены)
1893-05-05	crash	Паника 1893 (NYSE)
1907-10-22	crash	Паника 1907 (Knickerbocker)
1929-10-29	crash	«Чёрный вторник»
1962-05-28	crash	Flash Crash 1962 (Kennedy Slide)
1987-10-19	crash	«Чёрный понедельник»
1989-10-13	crash	Мини-крах пятницы 13-го
1997-10-27	crash	Мини-крах азиатской волны NYSE
2000-03-13	crash	Разворот дот-комов
2010-05-06	crash	Flash Crash 2010
2011-08-08	crash	Обвал после даунгрейда США
2015-08-24	crash	«Чёрный понедельник» Китая
2018-02-05	crash	Volmageddon (VIX-крах)
2020-03-09	crash	COVID: первый обвал
2022-09-23	crash	Мини-крах фунта
